sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.5,random_budgeted,0,2,711.0,726.0,744.0,0.0,0.0,0.9143848419189453,1.002020202020202
0.5,hebbian_frobenius,0,2,672.0,672.0,724.0,0.03157141368415146,-0.047840563507729916,77.05527687072754,0.9750841750841751
0.5,hybrid_frobenius,0,2,672.0,672.0,724.0,0.03157141368415146,-0.047840563507729916,76.55071520805359,0.9750841750841751
0.5,oracle_compensation,0,2,707.0,732.0,744.0,1.0,-1.0,1.081268072128296,1.002020202020202
0.5,static_budgeted,0,3,661.0,694.0,725.0,0.0,0.0,1.3041517734527588,0.9764309764309764
0.5,random_budgeted,0,3,725.0,735.0,752.0,0.0,0.0,0.9446077346801758,1.0127946127946128
0.5,hebbian_frobenius,0,3,653.0,653.0,736.0,0.02675242419393515,-0.010088350656810555,78.89160895347595,0.9912457912457913
0.5,hybrid_frobenius,0,3,653.0,653.0,736.0,0.02675242419393515,-0.010088350656810555,77.16381120681763,0.9912457912457913
0.5,oracle_compensation,0,3,713.0,729.0,739.0,1.0,-1.0,1.0400846004486084,0.9952861952861953
0.5,static_budgeted,0,4,702.0,721.0,742.0,0.0,0.0,1.1761667728424072,0.9993265993265993
0.5,random_budgeted,0,4,704.0,723.0,744.0,0.0,0.0,1.2561392784118652,1.002020202020202
0.5,hebbian_frobenius,0,4,647.0,647.0,718.0,0.11306477860838894,-0.10760781313000181,38.8336226940155,0.967003367003367
0.5,hybrid_frobenius,0,4,647.0,647.0,718.0,0.11306477860838894,-0.10760781313000181,42.36278414726257,0.967003367003367
0.5,oracle_compensation,0,4,721.0,721.0,739.0,1.0,-1.0,1.0410981178283691,0.9952861952861953
0.5,static_budgeted,0,5,697.0,702.0,741.0,0.0,0.0,0.9567544460296631,0.997979797979798
0.5,random_budgeted,0,5,716.0,736.0,748.0,0.0,0.0,0.8737504482269287,1.0074074074074073
0.5,hebbian_frobenius,0,5,630.0,652.0,728.0,0.18812292892888002,-0.20721541303247246,90.97399544715881,0.9804713804713805
0.5,hybrid_frobenius,0,5,630.0,634.0,730.0,0.18812292892888002,-0.20721541303247246,89.09103584289551,0.9831649831649831
0.5,oracle_compensation,0,5,730.0,743.0,763.0,1.0,-1.0,1.1973049640655518,1.0276094276094276
0.5,static_budgeted,0,6,684.0,706.0,737.0,0.0,0.0,1.1161563396453857,0.9925925925925926
