sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.5,hybrid_frobenius,0,7,627.0,627.0,712.0,0.13414178751755884,-0.166643132903046,44.321699380874634,0.958922558922559
0.5,oracle_compensation,0,7,727.0,738.0,761.0,1.0,-1.0,1.306204080581665,1.024915824915825
0.5,static_budgeted,0,8,712.0,717.0,739.0,0.0,0.0,1.180464506149292,0.9952861952861953
0.5,hebbian_frobenius,0,8,667.0,667.0,724.0,0.03414377412708663,-0.01508233171548753,88.07301640510559,0.9750841750841751
0.5,hybrid_frobenius,0,8,667.0,678.0,735.0,0.03414377412708663,-0.01508233171548753,91.11827826499939,0.98989898989899
0.5,oracle_compensation,0,8,742.0,742.0,758.0,1.0,-1.0,1.1723005771636963,1.020875420875421
0.5,static_budgeted,0,9,687.0,708.0,731.0,0.0,0.0,1.4123022556304932,0.9845117845117846
0.5,hebbian_frobenius,0,9,671.0,671.0,734.0,0.06318446927631265,-0.10335142669688265,46.22163391113281,0.9885521885521885
0.5,hybrid_frobenius,0,9,671.0,671.0,734.0,0.06318446927631265,-0.10335142669688265,47.74078392982483,0.9885521885521885
0.5,oracle_compensation,0,9,703.0,729.0,744.0,1.0,-1.0,1.1698274612426758,1.002020202020202
1.0,static_budgeted,0,0,670.0,699.0,734.0,0.0,0.0,3.1153154373168945,0.9885521885521885
1.0,hebbian_frobenius,0,0,632.0,639.0,736.0,0.07699748956544537,-0.0796973904127486,89.28040409088135,0.9912457912457913
1.0,hybrid_frobenius,0,0,637.0,637.0,735.0,0.07699748956544537,-0.0796973904127486,92.30883026123047,0.98989898989899
1.0,oracle_compensation,0,0,687.0,696.0,749.0,1.0,-1.0,1.6589374542236328,1.0087542087542087
1.0,static_budgeted,0,1,679.0,690.0,747.0,0.0,0.0,4.047692537307739,1.006060606060606
1.0,hebbian_frobenius,0,1,615.0,615.0,727.0,0.12270332682890922,-0.15846522075985717,85.09919929504395,0.9791245791245792
1.0,hybrid_frobenius,0,1,615.0,615.0,727.0,0.12270332682890922,-0.15846522075985717,88.03423023223877,0.9791245791245792
1.0,oracle_compensation,0,1,683.0,683.0,759.0,1.0,-1.0,2.517669200897217,1.0222222222222221
